"Start","Stop","Length","Frame"
5697496,5697882,387,1
5710312,5710614,303,1
5713363,5713692,330,1
5717869,5718453,585,1
5719990,5721198,1209,1
5724937,5725239,303,1
5725291,5725686,396,1
5743417,5744076,660,1
5749465,5749887,423,1
5764570,5764998,429,1
5776828,5777322,495,1
5783542,5783895,354,1
5819305,5819646,342,1
5845834,5846142,309,1
5866534,5866833,300,1
5901244,5901648,405,1
5904379,5905206,828,1
5911597,5912085,489,1
5954764,5955105,342,1
5955931,5956362,432,1
5958685,5959179,495,1
5970637,5971107,471,1
6018901,6019224,324,1
6079420,6079848,429,1
6081907,6082236,330,1
6101080,6101568,489,1
6125803,6126204,402,1
6204445,6204894,450,1
6226570,6226902,333,1
6228292,6228633,342,1
6229054,6229383,330,1
6268186,6268548,363,1
6270685,6271110,426,1
6280153,6280737,585,1
6292225,6292563,339,1
6296020,6296487,468,1
6310261,6310626,366,1
6385363,6386064,702,1
6401458,6401823,366,1
6461965,6462279,315,1
6471832,6472137,306,1
6482923,6483540,618,1
6501634,6502113,480,1
6516106,6516411,306,1
6549187,6549522,336,1
6559690,6560043,354,1
6560527,6560850,324,1
6573118,6573519,402,1
6584068,6584517,450,1
6597268,6597606,339,1
6652951,6653307,357,1
6677467,6678288,822,1
6699403,6699792,390,1
6742417,6742785,369,1
6771721,6772050,330,1
6789409,6789822,414,1
6791053,6791481,429,1
6885565,6885999,435,1
6909541,6909882,342,1
7013239,7013637,399,1
7094227,7094667,441,1
7117849,7118199,351,1
7126384,7126761,378,1
7139548,7139964,417,1
7150564,7150923,360,1
7164868,7165335,468,1
7199635,7199958,324,1
7269562,7269930,369,1
7282348,7282647,300,1
7316587,7316949,363,1
7333474,7333854,381,1
7383394,7383747,354,1
7392775,7393107,333,1
7409950,7410456,507,1
7445059,7445400,342,1
7455970,7456344,375,1
7534567,7534890,324,1
7578109,7578570,462,1
7610608,7610922,315,1
7641997,7642347,351,1
7656064,7656573,510,1
7671667,7672020,354,1
7686073,7686384,312,1
7690318,7690656,339,1
7699357,7699761,405,1
7705741,7706097,357,1
7719730,7720083,354,1
7737892,7738317,426,1
7794817,7795317,501,1
7855093,7855500,408,1
7855780,7856148,369,1
7864630,7864983,354,1
7934347,7934724,378,1
8014855,8015178,324,1
8139586,8139933,348,1
8148130,8148477,348,1
8148529,8148861,333,1
8157307,8157663,357,1
8191774,8192160,387,1
8204983,8205321,339,1
8233858,8234232,375,1
8255989,8256501,513,1
8267698,8268195,498,1
8272384,8272974,591,1
8338468,8338791,324,1
8397148,8397471,324,1
8399863,8400210,348,1
8479858,8480310,453,1
8494810,8495109,300,1
8521564,8522058,495,1
8544922,8545233,312,1
8611426,8611728,303,1
8650420,8650821,402,1
8704816,8705226,411,1
8727661,8728071,411,1
8740075,8740443,369,1
8741251,8741772,522,1
8749615,8749953,339,1
8766199,8766648,450,1
8860324,8860653,330,1
8903929,8904378,450,1
8929717,8930061,345,1
8944795,8945160,366,1
9006697,9007005,309,1
9038917,9039438,522,1
9054136,9054444,309,1
9057127,9057594,468,1
9058060,9058407,348,1
9075487,9075840,354,1
9143512,9143826,315,1
9146803,9147129,327,1
9173530,9173853,324,1
9180058,9180462,405,1
9201127,9201459,333,1
9382915,9383307,393,1
9412786,9413313,528,1
9505747,9506061,315,1
9611344,9611655,312,1
9661237,9661647,411,1
9710038,9710466,429,1
9785893,9786393,501,1
9797791,9798336,546,1
9817048,9817359,312,1
9819760,9820191,432,1
9823114,9823581,468,1
9836380,9836712,333,1
9838747,9839082,336,1
9870154,9870459,306,1
9880726,9881043,318,1
9886570,9886881,312,1
9927592,9927960,369,1
9930862,9931605,744,1
9984559,9984984,426,1
9997129,9997440,312,1
10000477,10000887,411,1
10013236,10013538,303,1
10066120,10066437,318,1
10108726,10109082,357,1
10127026,10127529,504,1
10152067,10153029,963,1
10175068,10175412,345,1
10178311,10178616,306,1
10195441,10195749,309,1
10216879,10217580,702,1
10232671,10233018,348,1
10238431,10238817,387,1
10261261,10261563,303,1
10271608,10272087,480,1
10273333,10273785,453,1
10274218,10274724,507,1
10351123,10351452,330,1
10366693,10367049,357,1
10391695,10392069,375,1
10392310,10392888,579,1
10393216,10393551,336,1
10460950,10461330,381,1
10515022,10515633,612,1
10539625,10539951,327,1
10552588,10552908,321,1
10555264,10555572,309,1
10559812,10560150,339,1
10573318,10573626,309,1
10578913,10579305,393,1
10585909,10586274,366,1
10593124,10593435,312,1
10609120,10609743,624,1
10626172,10626693,522,1
10658329,10658640,312,1
10670422,10670751,330,1
10678990,10679289,300,1
10736980,10737291,312,1
10742053,10742397,345,1
10753984,10754295,312,1
10816588,10816944,357,1
10914148,10914525,378,1
10917241,10917612,372,1
10945033,10945488,456,1
11032612,11032986,375,1
11042059,11042376,318,1
11106199,11106504,306,1
11150731,11151072,342,1
11170921,11171409,489,1
11188198,11188578,381,1
11191156,11191509,354,1
11211898,11212347,450,1
11223349,11223708,360,1
11238925,11239239,315,1
11248063,11248404,342,1
11342113,11342427,315,1
11361583,11361912,330,1
11386453,11386779,327,1
11398561,11398929,369,1
11439361,11439669,309,1
11488684,11489109,426,1
11531503,11531856,354,1
11564977,11565285,309,1
11568520,11568840,321,1
11651575,11651895,321,1
11653885,11654253,369,1
11673532,11673849,318,1
11793589,11794104,516,1
11808280,11808612,333,1
11811559,11812128,570,1
11814919,11815329,411,1
11839372,11839671,300,1
11843038,11843529,492,1
11905387,11905743,357,1
11930434,11930769,336,1
12052381,12053040,660,1
12058477,12058788,312,1
12063055,12063402,348,1
12077212,12077604,393,1
12126757,12127146,390,1
12130126,12130641,516,1
12167935,12168279,345,1
12240088,12240405,318,1
12263206,12263511,306,1
12282331,12282639,309,1
12291046,12291381,336,1
12303127,12303432,306,1
12357955,12358260,306,1
12413287,12413604,318,1
12433864,12480372,46509,1
12481672,12482016,345,1
12485692,12486168,477,1
12574960,12575295,336,1
12587026,12587766,741,1
12658321,12658626,306,1
12661489,12661833,345,1
12680932,12681318,387,1
12686908,12687225,318,1
12722158,12722499,342,1
12750970,12751437,468,1
12791794,12792129,336,1
12793090,12793413,324,1
12796585,12796962,378,1
12802390,12802797,408,1
12830419,12830751,333,1
12855151,12855561,411,1
12857452,12857751,300,1
12862489,12862827,339,1
12863869,12864174,306,1
12886396,12886758,363,1
12906583,12906891,309,1
12964660,12965097,438,1
13018669,13018977,309,1
13025044,13025571,528,1
13079584,13079949,366,1
13101721,13102239,519,1
13153078,13153539,462,1
13155472,13155774,303,1
13167916,13168269,354,1
13182325,13182645,321,1
13188994,13189359,366,1
13204768,13205088,321,1
13209817,13210299,483,1
13211857,13212180,324,1
13224934,13225284,351,1
13246486,13246932,447,1
13264444,13264812,369,1
13285162,13285686,525,1
13381096,13381650,555,1
13390771,13391094,324,1
13402378,13402716,339,1
13420276,13420830,555,1
13426969,13427310,342,1
13427635,13427943,309,1
13447321,13447620,300,1
13476337,13476636,300,1
13543453,13543758,306,1
13592080,13592484,405,1
13600060,13600485,426,1
13609405,13609842,438,1
13629295,13629645,351,1
13640605,13640949,345,1
13642849,13643340,492,1
13653595,13653897,303,1
13662679,13663164,486,1
13699390,13699725,336,1
13706761,13707090,330,1
13712968,13713324,357,1
13803280,13803609,330,1
13813102,13813539,438,1
13813996,13814298,303,1
13831078,13831587,510,1
13832197,13832751,555,1
13853746,13854084,339,1
13916548,13916898,351,1
13943338,13943691,354,1
13973587,13973970,384,1
13990585,13991019,435,1
14005483,14005896,414,1
14027218,14027664,447,1
14040091,14040429,339,1
14052946,14053314,369,1
14094148,14094990,843,1
14112442,14112753,312,1
14118148,14118462,315,1
14142886,14143407,522,1
14149063,14149365,303,1
14176660,14177049,390,1
14193325,14193639,315,1
14227939,14228268,330,1
14230411,14230734,324,1
14247220,14247555,336,1
14261587,14261955,369,1
14284531,14284875,345,1
14306407,14306754,348,1
14313322,14313678,357,1
14327515,14327949,435,1
14391634,14392026,393,1
14414920,14415228,309,1
14444296,14444784,489,1
14481625,14482020,396,1
14510317,14510616,300,1
14512030,14512425,396,1
14515573,14515881,309,1
14516515,14516850,336,1
14530765,14531169,405,1
14546491,14546883,393,1
14548246,14548554,309,1
14560189,14560566,378,1
14580100,14580531,432,1
14595226,14595690,465,1
14640550,14640867,318,1
14654938,14655369,432,1
14657404,14658099,696,1
14659195,14659650,456,1
14678524,14678865,342,1
14680429,14681616,1188,1
14693701,14694450,750,1
14695612,14696010,399,1
14701897,14702247,351,1
14704882,14705328,447,1
14707927,14708265,339,1
14774938,14775423,486,1
14792590,14793132,543,1
14798113,14798436,324,1
14816572,14816928,357,1
14844874,14845185,312,1
14853247,14853594,348,1
14868820,14869173,354,1
14874994,14875320,327,1
14949460,14949918,459,1
14955034,14955420,387,1
14978125,14978445,321,1
14985613,14986311,699,1
15014362,15014754,393,1
15016387,15016755,369,1
15042418,15042783,366,1
15046093,15046596,504,1
15058411,15058839,429,1
15060115,15060564,450,1
15119149,15119529,381,1
15131002,15131406,405,1
15181858,15182451,594,1
15187330,15187656,327,1
15197968,15198273,306,1
15206911,15207210,300,1
15215401,15216351,951,1
15227230,15228213,984,1
15228604,15229062,459,1
15229129,15229512,384,1
15229804,15230241,438,1
15255277,15255579,303,1
15283537,15283878,342,1
15284995,15285462,468,1
15299860,15300306,447,1
15306946,15307248,303,1
15309592,15309987,396,1
15319468,15319848,381,1
15335869,15336267,399,1
15434557,15434919,363,1
15462706,15463038,333,1
15479560,15479859,300,1
15516412,15516753,342,1
15517609,15517971,363,1
15518173,15518478,306,1
15554665,15554982,318,1
15563548,15563943,396,1
15575467,15575823,357,1
15580282,15580629,348,1
15598861,15599433,573,1
15633826,15634257,432,1
15635002,15635349,348,1
15638332,15638655,324,1
15684760,15685098,339,1
15721729,15722088,360,1
15759127,15759450,324,1
15763648,15764205,558,1
15776098,15776418,321,1
15800143,15800556,414,1
15820426,15820773,348,1
15825394,15825714,321,1
15833803,15834225,423,1
15846763,15847089,327,1
15848365,15848859,495,1
15876562,15876864,303,1
15897526,15897912,387,1
15899713,15900048,336,1
15974677,15975129,453,1
15977866,15978204,339,1
16013524,16013826,303,1
16090282,16090857,576,1
16093093,16093491,399,1
16097239,16097592,354,1
16193023,16193496,474,1
16197808,16198113,306,1
16237357,16237659,303,1
16313068,16313652,585,1
16315777,16316235,459,1
16353262,16353576,315,1
16408489,16408887,399,1
16409944,16410426,483,1
16425586,16425960,375,1
16429201,16429809,609,1
16438552,16438938,387,1
16466650,16466964,315,1
16531918,16532217,300,1
16533055,16533378,324,1
16538623,16539132,510,1
16598878,16599276,399,1
16603462,16603797,336,1
16616593,16616982,390,1
16649077,16649400,324,1
16673947,16674297,351,1
16740124,16740426,303,1
16790533,16790832,300,1
16830337,16830780,444,1
16841530,16841874,345,1
16934545,16934952,408,1
16949962,16950285,324,1
16957165,16957527,363,1
17011135,17011458,324,1
17012638,17013000,363,1
17051614,17052102,489,1
17071372,17071695,324,1
17072341,17072733,393,1
17148601,17148948,348,1
17167630,17168061,432,1
17193553,17193915,363,1
17207983,17208321,339,1
17213026,17213358,333,1
17284246,17284740,495,1
17303149,17303532,384,1
17353699,17354163,465,1
17361523,17361828,306,1
17369206,17369520,315,1
17411416,17411760,345,1
17472634,17472957,324,1
17527753,17528088,336,1
17544124,17544456,333,1
17557057,17557380,324,1
17577067,17577378,312,1
17577937,17578245,309,1
17586436,17586756,321,1
17620048,17620380,333,1
17640781,17641092,312,1
17691715,17692026,312,1
17770105,17770500,396,1
17775235,17775603,369,1
17780680,17781036,357,1
17789512,17789973,462,1
17791414,17791893,480,1
17803741,17804070,330,1
17860969,17861301,333,1
17864338,17864796,459,1
17886967,17887443,477,1
17904658,17904969,312,1
17946283,17946648,366,1
17979214,17979672,459,1
17987833,17988144,312,1
18006820,18007122,303,1
18024550,18025125,576,1
18092962,18093303,342,1
18137050,18137421,372,1
18168841,18169368,528,1
18211831,18212172,342,1
18214441,18214848,408,1
18303349,18303966,618,1
18384181,18384594,414,1
18404608,18404955,348,1
18441283,18441636,354,1
18443083,18443397,315,1
18463276,18463623,348,1
18475651,18476202,552,1
18478501,18478842,342,1
18499018,18499410,393,1
18632068,18632367,300,1
18679492,18679839,348,1
18694036,18694353,318,1
18772555,18772908,354,1
18833584,18833958,375,1
18854077,18854460,384,1
18858790,18859092,303,1
18916279,18916632,354,1
18990070,18990543,474,1
19011196,19011513,318,1
19022365,19022808,444,1
19032589,19032906,318,1
19034572,19034904,333,1
19155397,19155705,309,1
19173679,19174029,351,1
19241224,19241547,324,1
19255165,19255506,342,1
19324936,19325238,303,1
19334245,19334550,306,1
19338574,19338912,339,1
19365973,19366272,300,1
19388419,19388973,555,1
19405162,19405623,462,1
19415116,19415547,432,1
19451065,19451628,564,1
19455565,19455873,309,1
19516420,19516863,444,1
19528105,19528443,339,1
19559521,19559844,324,1
19578358,19578684,327,1
19590109,19590408,300,1
19608832,19609131,300,1
19621159,19621479,321,1
19653091,19653519,429,1
19662841,19663182,342,1
19708444,19708893,450,1
19710430,19710753,324,1
19716049,19716360,312,1
19779439,19779840,402,1
19823701,19824018,318,1
19846324,19847022,699,1
19863925,19864263,339,1
19882876,19883235,360,1
20015092,20015466,375,1
20022244,20022846,603,1
20027635,20027997,363,1
20037256,20037606,351,1
20057722,20058129,408,1
20073316,20073744,429,1
20163202,20163522,321,1
20221327,20221683,357,1
20222740,20223051,312,1
20305243,20305647,405,1
20399299,20399601,303,1
20431459,20431812,354,1
20463706,20464032,327,1
20478727,20479029,303,1
20492095,20492517,423,1
20526721,20527149,429,1
20576566,20576865,300,1
20619913,20620236,324,1
20637001,20637363,363,1
20641078,20641392,315,1
20663695,20664015,321,1
20710099,20710422,324,1
20712595,20713350,756,1
20773642,20774082,441,1
20910205,20910504,300,1
20918095,20918418,324,1
20942389,20942763,375,1
20946523,20946882,360,1
20964253,20964588,336,1
20998516,20998824,309,1
21022375,21022893,519,1
21069067,21069549,483,1
21151213,21151674,462,1
21216913,21217326,414,1
21297967,21298356,390,1
21481756,21482244,489,1
21636739,21637155,417,1
21650908,21651240,333,1
21759436,21760059,624,1
21786997,21787380,384,1
21788476,21788961,486,1
21790597,21790923,327,1
21815752,21816111,360,1
21862468,21862848,381,1
21874357,21874695,339,1
21923053,21923412,360,1
21982156,21982590,435,1
21990403,21991392,990,1
22014874,22015224,351,1
22035238,22035666,429,1
22037956,22038339,384,1
22066435,22066878,444,1
22103680,22104303,624,1
22104337,22104717,381,1
22106839,22107141,303,1
22125253,22125621,369,1
22135501,22135824,324,1
22144054,22144362,309,1
22159936,22160268,333,1
22192357,22192680,324,1
22268188,22268583,396,1
22329844,22330203,360,1
22341604,22341963,360,1
22354180,22354500,321,1
22427686,22427988,303,1
22476547,22476876,330,1
22514794,22515129,336,1
22654960,22655283,324,1
22686661,22687011,351,1
22753072,22753500,429,1
22774408,22774728,321,1
22811878,22812228,351,1
22832200,22832511,312,1
22861273,22861677,405,1
22872289,22872633,345,1
22874614,22875015,402,1
22878916,22879239,324,1
22888147,22888554,408,1
22913086,22913421,336,1
22917328,22917636,309,1
22924198,22924497,300,1
22926337,22926990,654,1
22960306,22960638,333,1
22975642,22975941,300,1
22993522,22993839,318,1
22994371,22994799,429,1
23039428,23039754,327,1
23052316,23052771,456,1
23065858,23066223,366,1
23094604,23094987,384,1
23106877,23107191,315,1
23121301,23121651,351,1
23146702,23147055,354,1
23163970,23164419,450,1
23171353,23171721,369,1
23189956,23190255,300,1
23191876,23192175,300,1
23197729,23198082,354,1
23232520,23232825,306,1
23309623,23309985,363,1
23310715,23311038,324,1
23316733,23317053,321,1
23329726,23330046,321,1
23380867,23381187,321,1
23392258,23392626,369,1
23402716,23403123,408,1
23411209,23411556,348,1
23428141,23428731,591,1
23439985,23440560,576,1
23449549,23450049,501,1
23462365,23462673,309,1
23479021,23479422,402,1
23483494,23483835,342,1
23490214,23490594,381,1
23496511,23496825,315,1
23501950,23502276,327,1
23534338,23534673,336,1
23568508,23568948,441,1
23599021,23599323,303,1
23613583,23613957,375,1
23660077,23660391,315,1
23759248,23759586,339,1
23762884,23763198,315,1
23772049,23772405,357,1
23785930,23786613,684,1
23808499,23808834,336,1
23823556,23823921,366,1
23829667,23830176,510,1
23880760,23881164,405,1
23891860,23892162,303,1
23917855,23918172,318,1
23925478,23925795,318,1
23942755,23943072,318,1
24013642,24013953,312,1
24025300,24025638,339,1
24035023,24035379,357,1
24056722,24057033,312,1
24095770,24096072,303,1
24140257,24140598,342,1
24200596,24200982,387,1
24208756,24209100,345,1
24215320,24215853,534,1
24220468,24220785,318,1
24250423,24250833,411,1
24266914,24267231,318,1
24280720,24281145,426,1
24299836,24300252,417,1
24347008,24347454,447,1
24351613,24351927,315,1
24353542,24353874,333,1
24362473,24362808,336,1
24404929,24405264,336,1
24446785,24447213,429,1
24485557,24485874,318,1
24493168,24493485,318,1
24496051,24496350,300,1
24525508,24526047,540,1
24527605,24527928,324,1
24536374,24536787,414,1
24544240,24544569,330,1
24552304,24552603,300,1
24558667,24558990,324,1
24645817,24646245,429,1
24647938,24648372,435,1
24691198,24691512,315,1
24736789,24737163,375,1
24781339,24781806,468,1
24810976,24811407,432,1
24851008,24851358,351,1
24880807,24881142,336,1
24901534,24902046,513,1
24914911,24915210,300,1
24919600,24920070,471,1
24951919,24952245,327,1
24953848,24954174,327,1
25034050,25034382,333,1
25070083,25070586,504,1
25072762,25073142,381,1
25081465,25081938,474,1
25109380,25110000,621,1
25125625,25125933,309,1
25127671,25127994,324,1
25135933,25136238,306,1
25144213,25144566,354,1
25158376,25158795,420,1
25171507,25171887,381,1
25174900,25175286,387,1
25196539,25196883,345,1
25222747,25223058,312,1
25231783,25232127,345,1
25265077,25265406,330,1
25276285,25276992,708,1
25303237,25303548,312,1
25311475,25311924,450,1
25373917,25374243,327,1
25449838,25450197,360,1
25472692,25473000,309,1
25510363,25510677,315,1
25512994,25513296,303,1
25540885,25541259,375,1
25545922,25546359,438,1
25552108,25552515,408,1
25554985,25555341,357,1
25565830,25566258,429,1
25566931,25567284,354,1
25580458,25581075,618,1
25620478,25620786,309,1
25643155,25643493,339,1
25680526,25680945,420,1
25709551,25709874,324,1
25750708,25751013,306,1
25762357,25762743,387,1
25836310,25836825,516,1
25882477,25882848,372,1
25965136,25965483,348,1
26046739,26047236,498,1
26049607,26050002,396,1
26064634,26064951,318,1
26070865,26071167,303,1
26073568,26073918,351,1
26093032,26093352,321,1
26167105,26167419,315,1
26185015,26185443,429,1
26243536,26243871,336,1
26254708,26255016,309,1
26285824,26286147,324,1
26294815,26295243,429,1
26317249,26317584,336,1
26371465,26371794,330,1
26392939,26393277,339,1
26477557,26477865,309,1
26524489,26524884,396,1
26603821,26604174,354,1
26692105,26692575,471,1
26751376,26751690,315,1
26758198,26758497,300,1
26761639,26761956,318,1
26795392,26795781,390,1
26817352,26817696,345,1
26822890,26823216,327,1
26843230,26843556,327,1
26851474,26851920,447,1
26873014,26873445,432,1
26905486,26905839,354,1
26931580,26931987,408,1
27004213,27004551,339,1
27013720,27014160,441,1
27025423,27026076,654,1
27062812,27063231,420,1
27084853,27085158,306,1
27098365,27098721,357,1
27114760,27115230,471,1
27144559,27144894,336,1
27154522,27154839,318,1
27176812,27177192,381,1
27191857,27192345,489,1
27330436,27330744,309,1
27460522,27460833,312,1
27530629,27531036,408,1
27534571,27534888,318,1
27552949,27553251,303,1
27619006,27619353,348,1
27622558,27622980,423,1
27623794,27624126,333,1
27651841,27652158,318,1
27668620,27668922,303,1
27683761,27684093,333,1
27691237,27691686,450,1
27706897,27707460,564,1
27716065,27716442,378,1
27728713,27729012,300,1
27730948,27731280,333,1
27734443,27734802,360,1
27736342,27736647,306,1
27751660,27752031,372,1
27800056,27800964,909,1
27846184,27846489,306,1
27858850,27859224,375,1
27893281,27893694,414,1
27909301,27909621,321,1
27918697,27919017,321,1
27934132,27934569,438,1
27943189,27943575,387,1
27960331,27960720,390,1
27991129,27991485,357,1
28004812,28005381,570,1
28019104,28019682,579,1
28039156,28039668,513,1
28040899,28041201,303,1
28070704,28071105,402,1
28106980,28107315,336,1
28151533,28152039,507,1
28168732,28169169,438,1
28171078,28171377,300,1
28179151,28179474,324,1
28187572,28187928,357,1
28227655,28227969,315,1
28230328,28230639,312,1
28236097,28236402,306,1
28248637,28248999,363,1
28272634,28273062,429,1
28337059,28337367,309,1
28358956,28359327,372,1
28383391,28383702,312,1
28405711,28406496,786,1
28411525,28411935,411,1
28446250,28446573,324,1
28463557,28463862,306,1
28469860,28470174,315,1
28470397,28471053,657,1
28471165,28471467,303,1
28531519,28531821,303,1
28532590,28532952,363,1
28549609,28550166,558,1
28608778,28609083,306,1
28610275,28610622,348,1
28614181,28614561,381,1
28645981,28646343,363,1
28665985,28666305,321,1
28697065,28697424,360,1
28757071,28757379,309,1
28760155,28760490,336,1
28799866,28800249,384,1
28815754,28816059,306,1
28903105,28903428,324,1
28939228,28939545,318,1
28947691,28948107,417,1
28989124,28989492,369,1
29006986,29007288,303,1
29008222,29008785,564,1
29041918,29042247,330,1
29070697,29071179,483,1
29075662,29075967,306,1
29089309,29089722,414,1
29092258,29092635,378,1
29143654,29143968,315,1
29178568,29178876,309,1
29215456,29215863,408,1
29218075,29218389,315,1
29232727,29233047,321,1
29242435,29242836,402,1
29252302,29252718,417,1
29282362,29282778,417,1
29292583,29292990,408,1
29304670,29305173,504,1
29313805,29314416,612,1
29333992,29334318,327,1
29355184,29355498,315,1
29372221,29372568,348,1
29380009,29380332,324,1
29407102,29407443,342,1
29408245,29408544,300,1
29412508,29412813,306,1
29483044,29483397,354,1
29520313,29520666,354,1
29529157,29529474,318,1
29596117,29596479,363,1
29651872,29652288,417,1
29682187,29682747,561,1
29684359,29684760,402,1
29709127,29709525,399,1
29712118,29712777,660,1
